MAIN_ACT,amount,YEAR
root,,
2021,,root
2020,,root
2019,,root
2018,,root
2017,,root
2016,,root
2015,,root
2014,,root
2013,,root
2012,,root
2011,,root
2010,,root
2009,,root
2008,,root
Production of carbon black,1673898,2015
production of cement clinker ,97733252,2015
Production of coke,11020333,2015
Production of glyoxal and glyoxylic acid,9070,2015
Production of gypsum or plasterboard,962871,2015
Production of hydrogen and synthesis gas,8029302,2015
Production of metals,16547740,2015
Production of nitric acid,4298002,2015
production of pig iron or steel ,105555588,2015
Production of quicklime,26387693,2015
Production of sodium carbonates,3152299,2015
Refining of mineral oil,111843290,2015
#N/A,327661341,2015
 manufacture of ceramic,12005062,2014
 production of pulp or other fibrous materials ,24649688,2014
Aviation,49183029,2014
Capture of greenhouse gases ,15168,2014
Combustion installations ,45949152,2014
Combustion of fuels,934934176,2014
manufacture of glass,16493348,2014
Manufacture of mineral wool,1569950,2014
Metal ore roasting or sintering,787268,2014
Mineral oil refineries,8908801,2014
Other activity,2694653,2014
Prodcution of aluminium,9585531,2014
Production of adipic acid,143924,2014
Production of ammonia,16608953,2014
Production of bulk chemicals,31113483,2014
Production of carbon black,1625279,2014
production of cement clinker ,98241991,2014
Production of coke,10711413,2014
Production of glyoxal and glyoxylic acid,11751,2014
Production of gypsum or plasterboard,952271,2014
Production of hydrogen and synthesis gas,8293359,2014
Production of metals,16705604,2014
Production of nitric acid,4164304,2014
production of pig iron or steel ,106606236,2014
Production of quicklime,27020904,2014
Production of sodium carbonates,3237931,2014
Refining of mineral oil,108694922,2014
#N/A,327610514,2014
 manufacture of ceramic,12204910,2013
 production of pulp or other fibrous materials ,25759514,2013
Aviation,47977545,2013
Capture of greenhouse gases ,15387,2013
Combustion installations ,52237860,2013
Combustion of fuels,1010181147,2013
manufacture of glass,16442709,2013
Manufacture of mineral wool,1575678,2013
Metal ore roasting or sintering,779075,2013
Mineral oil refineries,9023614,2013
Other activity,2300337,2013
Prodcution of aluminium,9680713,2013
Production of adipic acid,141792,2013
Production of ammonia,16898794,2013
Production of bulk chemicals,31647602,2013
Production of carbon black,1527618,2013
production of cement clinker ,94851838,2013
Production of coke,10894709,2013
Production of glyoxal and glyoxylic acid,10482,2013
Production of gypsum or plasterboard,965370,2013
Production of hydrogen and synthesis gas,8557619,2013
Production of metals,16562428,2013
Production of nitric acid,4453203,2013
production of pig iron or steel ,105692148,2013
Production of quicklime,27190556,2013
Production of sodium carbonates,3081022,2013
Refining of mineral oil,111948607,2013
#N/A,338884704,2013
 manufacture of ceramic,7142944,2012
 production of pulp or other fibrous materials ,25975806,2012
Aviation,75539871,2012
Capture of greenhouse gases ,16102,2012
Combustion installations ,65994905,2012
Combustion of fuels,1009077786,2012
manufacture of glass,16755875,2012
Manufacture of mineral wool,1311887,2012
Metal ore roasting or sintering,1066915,2012
Mineral oil refineries,8971759,2012
Other activity,2992860,2012
Prodcution of aluminium,463093,2012
Production of adipic acid,0,2012
Production of ammonia,1664810,2012
Production of bulk chemicals,20637883,2012
Production of carbon black,1473633,2012
production of cement clinker ,98212141,2012
Production of coke,10616128,2012
Production of glyoxal and glyoxylic acid,0,2012
Production of gypsum or plasterboard,256712,2012
Production of hydrogen and synthesis gas,453829,2012
Production of metals,2904818,2012
Production of nitric acid,512605,2012
production of pig iron or steel ,89994628,2012
Production of quicklime,24533472,2012
Production of sodium carbonates,1120416,2012
Refining of mineral oil,105034038,2012
#N/A,346542330,2012
 manufacture of ceramic,7104340,2011
 production of pulp or other fibrous materials ,25636481,2011
Aviation,0,2011
Capture of greenhouse gases ,15596,2011
Combustion installations ,77416374,2011
Combustion of fuels,991793430,2011
manufacture of glass,16078609,2011
Manufacture of mineral wool,1284202,2011
Metal ore roasting or sintering,974424,2011
Mineral oil refineries,9615597,2011
Other activity,3522193,2011
Prodcution of aluminium,275163,2011
Production of adipic acid,0,2011
Production of ammonia,1209572,2011
Production of bulk chemicals,21559005,2011
Production of carbon black,1283453,2011
production of cement clinker ,107383932,2011
Production of coke,9637310,2011
Production of glyoxal and glyoxylic acid,0,2011
Production of gypsum or plasterboard,241088,2011
Production of hydrogen and synthesis gas,551515,2011
Production of metals,7870437,2011
Production of nitric acid,345987,2011
production of pig iron or steel ,72354510,2011
Production of quicklime,22463973,2011
Production of sodium carbonates,925510,2011
Refining of mineral oil,108746155,2011
#N/A,340996842,2011
 manufacture of ceramic,7433840,2010
 production of pulp or other fibrous materials ,27602320,2010
Aviation,0,2010
Capture of greenhouse gases ,16858,2010
Combustion installations ,85276674,2010
Combustion of fuels,1020580561,2010
manufacture of glass,17075040,2010
Manufacture of mineral wool,1338293,2010
Metal ore roasting or sintering,1178765,2010
Mineral oil refineries,9254830,2010
Other activity,4299926,2010
Prodcution of aluminium,304329,2010
Production of adipic acid,0,2010
Production of ammonia,1333248,2010
Production of bulk chemicals,22331200,2010
Production of carbon black,1623974,2010
production of cement clinker ,106083820,2010
Production of coke,11479194,2010
Production of glyoxal and glyoxylic acid,0,2010
Production of gypsum or plasterboard,260576,2010
Production of hydrogen and synthesis gas,598256,2010
Production of metals,4107430,2010
Production of nitric acid,477463,2010
production of pig iron or steel ,92907714,2010
Production of quicklime,25402359,2010
Production of sodium carbonates,1037087,2010
Refining of mineral oil,106849825,2010
#N/A,343237869,2010
 manufacture of ceramic,7104340,2009
 production of pulp or other fibrous materials ,25636481,2009
Aviation,0,2009
Capture of greenhouse gases ,15596,2009
Combustion installations ,77416374,2009
Combustion of fuels,991793430,2009
manufacture of glass,16078609,2009
Manufacture of mineral wool,1284202,2009
Metal ore roasting or sintering,974424,2009
Mineral oil refineries,9615597,2009
Other activity,3522193,2009
Prodcution of aluminium,275163,2009
Production of adipic acid,0,2009
Production of ammonia,1209572,2009
Production of bulk chemicals,21559005,2009
Production of carbon black,1283453,2009
production of cement clinker ,107383932,2009
Production of coke,9637310,2009
Production of glyoxal and glyoxylic acid,0,2009
Production of gypsum or plasterboard,241088,2009
Production of hydrogen and synthesis gas,551515,2009
Production of metals,7870437,2009
Production of nitric acid,345987,2009
production of pig iron or steel ,72354510,2009
Production of quicklime,22463973,2009
Production of sodium carbonates,925510,2009
Refining of mineral oil,108746155,2009
#N/A,340996842,2009
 manufacture of ceramic,9794169,2008
 production of pulp or other fibrous materials ,28260551,2008
Aviation,0,2008
Capture of greenhouse gases ,14696,2008
Combustion installations ,85686231,2008
Combustion of fuels,1079894575,2008
manufacture of glass,18115988,2008
Manufacture of mineral wool,1409850,2008
Metal ore roasting or sintering,1424906,2008
Mineral oil refineries,10244863,2008
Other activity,4911425,2008
Prodcution of aluminium,394446,2008
Production of adipic acid,0,2008
Production of ammonia,1595915,2008
Production of bulk chemicals,22918680,2008
Production of carbon black,1480222,2008
production of cement clinker ,132870460,2008
Production of coke,12944428,2008
Production of glyoxal and glyoxylic acid,0,2008
Production of gypsum or plasterboard,290525,2008
Production of hydrogen and synthesis gas,573229,2008
Production of metals,9629091,2008
Production of nitric acid,429288,2008
production of pig iron or steel ,106359863,2008
Production of quicklime,28627864,2008
Production of sodium carbonates,1149775,2008
Refining of mineral oil,116061389,2008
#N/A,372397355,2008
