MAIN_ACT,amount,YEAR
root,,
2021,,root
2020,,root
2019,,root
2018,,root
2017,,root
2016,,root
2015,,root
2014,,root
2013,,root
2012,,root
2011,,root
2010,,root
2009,,root
2008,,root
production of cement clinker ,106695533,2015
Production of coke,9855464,2015
Production of glyoxal and glyoxylic acid,8178,2015
Production of gypsum or plasterboard,949337,2015
Production of hydrogen and synthesis gas,7646973,2015
Production of metals,16562261,2015
Production of nitric acid,4473453,2015
production of pig iron or steel ,133266919,2015
Production of quicklime,24512111,2015
Production of sodium carbonates,4172697,2015
Refining of mineral oil,82951716,2015
#N/A,79783155,2015
manufacture of ceramic,12385616,2014
production of pulp or other fibrous materials ,30001386,2014
Aviation,29265468,2014
Capture of greenhouse gases ,9110,2014
Combustion installations ,13248981,2014
Combustion of fuels,184253685,2014
manufacture of glass,14260387,2014
Manufacture of mineral wool,1387953,2014
Metal ore roasting or sintering,843316,2014
Mineral oil refineries,6834859,2014
Other activity,1847143,2014
Prodcution of aluminium,8828195,2014
Production of adipic acid,1068946,2014
Production of ammonia,14839502,2014
Production of bulk chemicals,38514216,2014
Production of carbon black,1563032,2014
production of cement clinker ,107934996,2014
Production of coke,10089787,2014
Production of glyoxal and glyoxylic acid,8326,2014
Production of gypsum or plasterboard,963671,2014
Production of hydrogen and synthesis gas,8041299,2014
Production of metals,17111186,2014
Production of nitric acid,4564913,2014
production of pig iron or steel ,138014580,2014
Production of quicklime,25420938,2014
Production of sodium carbonates,4868167,2014
Refining of mineral oil,86900395,2014
#N/A,84264693,2014
manufacture of ceramic,13582328,2013
production of pulp or other fibrous materials ,31351172,2013
Aviation,29328260,2013
Capture of greenhouse gases ,10837,2013
Combustion installations ,14238801,2013
Combustion of fuels,197956917,2013
manufacture of glass,14783277,2013
Manufacture of mineral wool,1420402,2013
Metal ore roasting or sintering,945948,2013
Mineral oil refineries,7363360,2013
Other activity,1893262,2013
Prodcution of aluminium,9113269,2013
Production of adipic acid,1087840,2013
Production of ammonia,15701808,2013
Production of bulk chemicals,39440839,2013
Production of carbon black,1596667,2013
production of cement clinker ,120362450,2013
Production of coke,10269701,2013
Production of glyoxal and glyoxylic acid,8474,2013
Production of gypsum or plasterboard,792947,2013
Production of hydrogen and synthesis gas,8184397,2013
Production of metals,17815167,2013
Production of nitric acid,4621758,2013
production of pig iron or steel ,140763282,2013
Production of quicklime,26489078,2013
Production of sodium carbonates,4954697,2013
Refining of mineral oil,89251392,2013
#N/A,91350263,2013
manufacture of ceramic,14059077,2012
production of pulp or other fibrous materials ,37496655,2012
Aviation,128056837,2012
Capture of greenhouse gases ,17387,2012
Combustion installations ,73123977,2012
Combustion of fuels,943303511,2012
manufacture of glass,21387666,2012
Manufacture of mineral wool,1845204,2012
Metal ore roasting or sintering,2034035,2012
Mineral oil refineries,9942955,2012
Other activity,5825438,2012
Prodcution of aluminium,661175,2012
Production of adipic acid,0,2012
Production of ammonia,2428857,2012
Production of bulk chemicals,27430335,2012
Production of carbon black,1816234,2012
